"District","Province","Emploi_Agriculture","Emploi_Mines","Emploi_Industrie","Emploi_Construction","Emploi_Commerce","Emploi_Transport","Emploi_Services"
"Nyarugenge","City of Kigali",15128,38,13772,18286,22563,9367,61789
"Gasabo","City of Kigali",33404,86,30413,40382,49814,20686,136570
"Kicukiro","City of Kigali",19976,50,18191,24156,29793,12371,81637
"Nyanza","Southern Province",67726,202,2643,4584,5657,2669,11082
"Gisagara","Southern Province",71304,212,2783,4826,5956,2810,11656
"Nyaruguru","Southern Province",43161,2808,2339,3478,4292,2025,8399
"Huye","Southern Province",39202,834,6826,9476,12526,5517,30507
"Nyamagabe","Southern Province",67806,4409,3673,5463,6740,3180,13192
"Ruhango","Southern Province",63194,188,2465,4277,5277,2491,10332
"Muhanga","Southern Province",34255,729,5968,8280,10945,4821,26657
"Kamonyi","Southern Province",83284,5417,4513,6711,8279,3906,16197
"Karongi","Western Province",52567,3420,2848,4237,5225,2466,10225
"Rutsiro","Western Province",62493,4066,3387,5037,6212,2932,12155
"Rubavu","Western Province",56779,1209,9894,13734,18148,7994,44195
"Nyabihu","Western Province",56321,3664,3053,4539,5601,2642,10957
"Ngororero","Western Province",48319,3142,2619,3894,4805,2267,9405
"Rusizi","Western Province",43411,924,7561,10497,13876,6109,33778
"Nyamasheke","Western Province",68554,4459,3714,5525,6815,3216,13333
"Rulindo","Northern Province",55799,3630,3024,4496,5548,2618,10858
"Gakenke","Northern Province",65097,4233,3527,5244,6471,3054,12664
"Musanze","Northern Province",51085,1087,8898,12349,16322,7188,39740
"Burera","Northern Province",65256,4242,3535,5257,6487,3061,12695
"Gicumbi","Northern Province",80590,240,3144,5453,6731,3175,13171
"Rwamagana","Eastern Province",106864,102,4010,6958,9811,5207,16796
"Nyagatare","Eastern Province",137673,131,5166,8960,12634,6706,21628
"Gatsibo","Eastern Province",111668,107,4189,7267,10244,5438,17541
"Kayonza","Eastern Province",85688,82,3213,5576,7862,4173,13463
"Kirehe","Eastern Province",83866,80,3145,5458,7696,4084,13178
"Ngoma","Eastern Province",77449,74,2904,5040,7107,3773,12167
"Bugesera","Eastern Province",107264,102,4025,6985,9847,5226,16859
