District,Province,Emploi_Agriculture,Emploi_Mines,Emploi_Industrie,Emploi_Construction,Emploi_Commerce,Emploi_Transport,Emploi_Services
Nyarugenge,City of Kigali,75291,1924,6756,9874,12682,5821,28595
Gasabo,City of Kigali,166286,4250,14922,21811,28007,12859,63220
Kicukiro,City of Kigali,99437,2542,8925,13046,16748,7689,37787
Nyanza,Southern Province,50498,1291,4532,6623,8506,3905,19208
Gisagara,Southern Province,53170,1359,4773,6972,8956,4112,20205
Nyaruguru,Southern Province,35521,908,3188,4658,5983,2747,13497
Huye,Southern Province,56030,1432,5026,7347,9435,4332,21286
Nyamagabe,Southern Province,55804,1426,5006,7317,9396,4314,21200
Ruhango,Southern Province,47123,1204,4228,6179,7935,3644,17911
Muhanga,Southern Province,48960,1251,4394,6420,8244,3786,18600
Kamonyi,Southern Province,68545,1752,6150,8989,11542,5299,26030
Karongi,Western Province,43263,1106,3882,5675,7284,3345,16433
Rutsiro,Western Province,51432,1315,4615,6747,8661,3977,19535
Rubavu,Western Province,81157,2075,7285,10649,13671,6278,30838
Nyabihu,Western Province,46352,1185,4160,6079,7808,3584,17609
Ngororero,Western Province,39764,1016,3569,5216,6698,3075,15113
Rusizi,Western Province,62047,1586,5567,8139,10452,4797,23568
Nyamasheke,Western Province,56421,1442,5061,7401,9501,4362,21428
Rulindo,Northern Province,45921,1174,4121,6022,7735,3551,17449
Gakenke,Northern Province,53575,1369,4806,7024,9022,4142,20352
Musanze,Northern Province,73012,1866,6551,9575,12294,5644,27727
Burera,Northern Province,53705,1372,4818,7041,9044,4152,20401
Gicumbi,Northern Province,60098,1535,5392,7879,10122,4646,22832
Rwamagana,Eastern Province,79981,2044,7178,10494,13475,6185,30391
Nyagatare,Eastern Province,103046,2633,9249,13513,17354,7966,39137
Gatsibo,Eastern Province,83584,2135,7500,10961,14072,6460,31742
Kayonza,Eastern Province,64138,1638,5753,8409,10799,4958,24362
Kirehe,Eastern Province,62772,1604,5630,8231,10571,4852,23847
Ngoma,Eastern Province,57970,1481,5200,7601,9762,4482,22018
Bugesera,Eastern Province,80280,2052,7205,10533,13525,6208,30505
