pays,secteur,cout_usd_tonne
Ouganda,Agriculture,35.0
Ouganda,Mines,25.0
Ouganda,Agro_industrie,30.0
Ouganda,Industrie,28.0
Ouganda,Construction,42.0
Ouganda,Commerce,26.0
Ouganda,Transport,18.0
Ouganda,Services,8.0
Tanzanie,Agriculture,90.0
Tanzanie,Mines,55.0
Tanzanie,Agro_industrie,75.0
Tanzanie,Industrie,70.0
Tanzanie,Construction,110.0
Tanzanie,Commerce,65.0
Tanzanie,Transport,45.0
Tanzanie,Services,12.0
RDC,Agriculture,28.0
RDC,Mines,20.0
RDC,Agro_industrie,25.0
RDC,Industrie,30.0
RDC,Construction,38.0
RDC,Commerce,22.0
RDC,Transport,14.0
RDC,Services,5.0
Burundi,Agriculture,12.0
Burundi,Mines,9.0
Burundi,Agro_industrie,10.0
Burundi,Industrie,11.0
Burundi,Construction,16.0
Burundi,Commerce,9.0
Burundi,Transport,6.0
Burundi,Services,2.0
