arete_idx,surcout_pondere,n_deconnexions_caus,osm_id,name,road_type,surface,longueur_m,volume_tonnes,cost_per_tkm,rang,longueur_km,surcout_pondere_k
6897,1020905.4806368945,0,479687569,,primary,paved,712.5281323044469,1416771.6188463017,0.06738030509354503,1,0.71,1020.9
15969,750558.8758191934,0,694848541,Kigali-Gatuna Road,trunk,paved,185.13695561359677,675456.7931610938,0.0638256485725694,2,0.19,750.6
15968,746997.5030517676,0,694848541,Kigali-Gatuna Road,trunk,paved,1009.4503489153578,680188.3375231766,0.06152896584108804,3,1.01,747.0
28265,586575.6582749016,0,,,,,58.24349795143977,388949.7736126106,0.10406999815026803,4,0.06,586.6
20025,582382.9780445383,0,705690728,,trunk,paved,479.83834891701355,2708316.711053168,0.06137484380999821,5,0.48,582.4
15970,461541.5266661504,0,694848541,Kigali-Gatuna Road,trunk,paved,1485.0640239649779,458275.01919349696,0.06415743294187691,6,1.49,461.5
15965,442756.9529916276,0,694848537,Kigali-Gatuna Road,trunk,paved,1759.7605549942,388949.7736126106,0.06160532126391964,7,1.76,442.8
26954,401913.1703487533,0,,,,,202.23882268747113,269926.86855769326,0.10897777777777777,8,0.2,401.9
9069,207350.93805630563,0,605638840,Kigali-Gatuna Road,trunk,paved,1110.5826176570113,269874.81540445285,0.06145842599508017,9,1.11,207.4
9068,167114.05914174847,0,605638840,Kigali-Gatuna Road,trunk,paved,468.43017664858723,241511.9350191336,0.061284867296187026,10,0.47,167.1
47,106181.19395750118,0,25796275,,trunk,paved,170.5164480848785,235786.4347391432,0.06143974637462367,11,0.17,106.2
48,92629.90451569602,0,25796275,,trunk,paved,104.20051463355685,235786.4347391432,0.06921657123681726,12,0.1,92.6
7013,70290.2345684099,0,507295264,,trunk,paved,14.323244978156994,260792.51639237354,0.060666666666666674,13,0.01,70.3
49,53484.98915647212,0,25796275,,trunk,paved,1614.928279111345,235786.4347391432,0.06416149715793439,14,1.61,53.5
22829,51302.31826404579,0,1074605997,KN 2 Avenue,secondary,paved,210.76865686845915,213089.2490735901,0.07105093889221191,15,0.21,51.3
9066,42001.023577610686,0,605638840,Kigali-Gatuna Road,trunk,paved,263.19536922567454,241511.9350191336,0.06251851851851851,16,0.26,42.0
4216,40449.024593970054,0,306164625,,trunk,paved,462.2055499042053,304339.5549094268,0.06251851851851853,17,0.46,40.4
9065,39025.258817562964,0,605638840,Kigali-Gatuna Road,trunk,paved,1669.6069436598532,241511.9350191336,0.06099639812686717,18,1.67,39.0
4217,37044.51328727958,0,306164625,,trunk,paved,492.4348394709404,304339.5549094268,0.06457730163640123,19,0.49,37.0
15964,36052.941163808646,0,694848537,Kigali-Gatuna Road,trunk,paved,1586.680177248996,269926.86855769326,0.061189774729924006,20,1.59,36.1
8877,33536.536619243845,0,573023276,KK 3 Rd,trunk,paved,121.45470927363557,267295.9534144909,0.06066666666666666,21,0.12,33.5
10906,33169.00886760225,0,672830475,KK 6 Avenue,secondary,paved,37.70016624369424,239314.46328582749,0.07096143646825845,22,0.04,33.2
8878,28850.56319828929,0,573023276,KK 3 Rd,trunk,paved,1393.872948646413,267295.9534144909,0.06066666666666666,23,1.39,28.9
8874,24475.840242761213,0,573023276,KK 3 Rd,trunk,paved,12.090800990683826,245476.65895794865,0.06066666666666667,24,0.01,24.5
4215,23604.272389546994,0,306164625,,trunk,paved,229.1246513005022,304339.5549094268,0.06066666666666667,25,0.23,23.6
26645,23564.97556534358,0,,,,,557.0637573677151,287645.4602439763,0.11019999999999999,26,0.56,23.6
67,22615.87295016216,0,25796288,Rwamagana-Kayonza Road,trunk,paved,142.84879775339033,222923.0356359228,0.06094932090379044,27,0.14,22.6
18436,22431.429522563623,0,698508334,,trunk,paved,352.79590622364344,283584.205461857,0.06082396450437467,28,0.35,22.4
8875,22326.633424348795,0,573023276,KK 3 Rd,trunk,paved,1433.0561562135072,225959.35723011178,0.060666666666666653,29,1.43,22.3
68,18614.311009052875,0,25796288,Rwamagana-Kayonza Road,trunk,paved,188.02255071516714,223286.5891022949,0.060666666666666653,30,0.19,18.6
20024,17952.317089837245,0,705690727,,trunk,paved,261.7871456670079,2708316.711053168,0.0642593887003982,31,0.26,18.0
26646,17193.413857684925,0,,,,,1109.119129048117,224475.50323345017,0.09786666666666666,32,1.11,17.2
9067,16883.621895307067,0,605638840,Kigali-Gatuna Road,trunk,paved,1128.8852476311392,241511.9350191336,0.06117034825272336,33,1.13,16.9
7005,14814.847269438525,0,507295262,KK 3 Rd,trunk,paved,53.20779147509305,287645.4602439763,0.06085719024332979,34,0.05,14.8
7006,8338.19842444573,0,507295262,KK 3 Rd,trunk,paved,749.9028087291325,283584.205461857,0.06066666666666666,35,0.75,8.3
25879,8338.19842444573,0,,,,,1237.4032818027795,283584.205461857,0.09786666666666667,36,1.24,8.3
10903,5793.790664533666,0,672823985,KK 6 Avenue,secondary,paved,410.1109303321841,239314.46328582749,0.07344444444444445,37,0.41,5.8
10904,5793.790664533666,0,672823986,KK 6 Avenue,secondary,paved,154.4621714853224,239314.46328582749,0.07113644903232409,38,0.15,5.8
69,5655.8997039919,0,25796288,Rwamagana-Kayonza Road,trunk,paved,690.5549748232072,223286.5891022949,0.06066666666666667,39,0.69,5.7
208,5441.293430129301,0,28888100,,trunk,paved,7.602590253730875,2705628.7675065007,0.06066666666666667,40,0.01,5.4
8929,4306.489949734863,0,579500165,KN 2 Avenue,secondary,paved,96.20982360837453,213089.2490735901,0.07066666666666667,41,0.1,4.3
22151,3444.000621433132,0,941672646,KN 3 Road,trunk,paved,371.9377743729083,207276.54475683157,0.06881481481481481,42,0.37,3.4
8832,2624.616020914341,0,570876716,KN3 Road,trunk,paved,223.08490386746848,288806.5069783869,0.06731164466945862,43,0.22,2.6
8970,1827.9903433014224,0,587513795,,trunk,paved,27.112900865754163,2707618.1468044193,0.06251851851851851,44,0.03,1.8
8876,906.9449952731329,0,573023276,KK 3 Rd,trunk,paved,13.702645653445964,225959.35723011178,0.06066666666666667,45,0.01,0.9
3795,526.7405245302099,0,265418282,,trunk,paved,43.76687089515609,283584.205461857,0.060666666666666674,46,0.04,0.5
22152,419.04192721990154,0,941672646,KN 3 Road,trunk,paved,999.6727629528776,207276.54475683157,0.06881481481481481,47,1.0,0.4
22153,220.51021907980387,0,941672646,KN 3 Road,trunk,paved,114.70522513474994,207276.54475683157,0.06650000000000002,48,0.11,0.2
22154,191.1775052903339,0,941672646,KN 3 Road,trunk,paved,20.724748001518375,207276.54475683157,0.0665,49,0.02,0.2
10902,59.23168898182075,0,672823984,KK 6 Avenue,secondary,paved,83.39447171027196,239314.46328582749,0.07066666666666667,50,0.08,0.1
