"Zone","Nyanza","Kabarondo (OSM)","Gikonko (OSM)","Muhororo (OSM)","Save (OSM)","Rwamagana (OSM)","Kayonza (OSM)","Musanze - Centre Nord","Nemba (OSM)","Katuna (OSM)","Karongi (OSM)","Huye (Butare) - Centre Sud","Gatsibo (OSM)","Byumba (OSM)","Kigali (OSM)","Gasabo (OSM)","Zone industrielle 17","Zone industrielle 3","Zone industrielle 4","Murindi (OSM)","Rilima (OSM)","Zone industrielle 18","Zone industrielle 19","Ramiro (OSM)","Ngoma (OSM)","Kibaya (OSM)","Gikoro (OSM)","Gahengeri (OSM)","Nzige (OSM)","Nyakabuye (OSM)","Miyove (OSM)","Musambira (OSM)","Ruhango (OSM)","Butamwa (OSM)","Gisagara (OSM)","Kigali - SEZ Masoro","Ruganda (OSM)","Nyacyonga (OSM)","Rukoli (OSM)","Rubavu - Centre Ouest","Zone industrielle 5","Zone industrielle 10","Zone industrielle 8","Rusizi - Centre Sud-Ouest","Rugaragara (OSM)","Rusizi (OSM)","Rwamagana","Rukara (OSM)","Musasa (OSM)","Kigali - Hub Central","Kigali - Marché Kimisagara","Sake (OSM)","Nyamagabe (OSM)","Nstinda (OSM)","Muhazi (OSM)","Nyamirama (OSM)","Ruramira (OSM)","Remera (OSM)","Kibungo (OSM)","Nyagatare (OSM)","Muhanga","Kigoma (OSM)","Rwabutazi (OSM)","Butezi (OSM)","Cumbati (OSM)","Gahara (OSM)","Rukomo (OSM)","Gatuna (OSM)","Zone industrielle 14","Kabaya (OSM)","Rukumberi (OSM)","Zone industrielle 16","Rugendabari (OSM)","Nyagasambu (OSM)","Nyakarambi (OSM)","Buhanda (OSM)","Frontière Bugarama (Burundi)","Frontière Rubavu/Goma (RDC)","Ruhango (OSM)_1","Karondo (OSM)","Kajevuba (OSM)","Ntunga (OSM)","Kibuye (OSM)","Masaka (OSM)","Cyamutara (OSM)","Frontière Gatuna (Ouganda)","Kadobogo (OSM)","Gatsata / Karuruma (OSM)","Kabuga Ka Musha (OSM)","Runda (OSM)","Ruhondo (OSM)","Mukamira (OSM)","Zone industrielle 13","Zone industrielle 15","Ngarama (OSM)","Rushashi (OSM)","Bugarama (OSM)","Kigoma (OSM)_1","Mugina (OSM)","Gitwe (OSM)","Carrier (OSM)","Bugesera SEZ (Agro-industrie)","Rusine (OSM)","Ngororero (OSM)","Idigiri (OSM)","Zone industrielle 1","Rwafandi (OSM)","Rusumo (OSM)","Karengera (OSM)","Kaduha (OSM)","Zone industrielle 2","Marenge (OSM)","Kabuga (OSM)","Kayumbo Centre (OSM)","Kinigi (OSM)","Cyunuzi (OSM)","Rubona (OSM)","Frontière Kagitumba (Ouganda)","Base (OSM)","Frontière Rusumo (Tanzanie)"
"Nyanza",0,7.57582941054543,199.961657179046,178.475888588646,155.937378954874,9.80780219226692,7.77239760924084,12.7052024614247,9.77291802667648,9.0075605624307,14.0500103997001,161.633426876958,5.62538039560223,11.5309253401427,19.5420600576226,15.9790156211135,23.9160120073832,24.4093792196101,26.562115651601,16.1409533092462,20.8639074671795,40.337363647863,43.0442050344358,30.584281098197,9.94744853101865,8.04106985457988,10.33414868647,12.8983038879161,10.3819981317362,6.47810146608645,8.73983350181893,53.4629874917334,392.63492538268,19.1605581434071,59.1737417947965,80.3426157036753,12.1674904375103,20.4531647304178,11.0505527781851,8.88642258921748,9.40805056206906,10.1975541083387,9.25741379387494,9.58738232933598,5.66689425563855,7.61772867291851,7.29244049275881,6.61248664916438,13.394373167772,233.632361031407,38.5141272118935,14.3245105524286,64.2906118983628,8.82619435578225,8.31811321710924,7.68978525510567,7.50725699564968,8.25717778477635,8.75889522150987,5.02746588494365,67.3288526375801,8796.15316783365,7.5626665164394,7.78892094316239,8.05334272992245,8.90002487965787,11.5959136071407,8.80660163598959,22.4933831593432,13.1656870160986,17.5757358213505,7.28615677044431,33.474637981406,11.3803620037253,6.44341134827229,117.67140335136,7.83470663819837,24.214550684937,468.454728706631,12.3787590323724,16.5069565380436,10.2635729730899,13.891456549382,15.1790172996302,15.7878080347788,18.9931204825166,12.708229720122,21.0486923166311,10.727007158155,26.7977122073217,7.22518172506765,9.12036694211945,8.46063343507898,64.8524387531723,6.8085287999188,10.2922676078378,5.40176650572602,11.9722034958456,13.1249160785955,181.898657662937,15.3134653009756,55.7882247631986,18.0485872369819,21.6435691863405,14.7972741727747,10.9283076066303,13.9975856316369,12.935089316082,7.71130314374473,40.5922835567491,9.92634488210307,15.1754662795623,14.9928678949351,37.4804282797042,7.4544546267455,7.25174581874634,164.908102347829,7.29351824381513,11.0331320922861,13.6949434193452
"Kabarondo (OSM)",7.24053516327896,0,8.47753674300494,8.27367937864662,8.21042612854381,212.489443778834,668.019072273546,11.9658277829279,10.6400343719972,14.2141172446769,6.75208223393725,13.4981117800935,47.9705928992743,17.8536759153257,33.2203128306211,36.8631592690626,30.4348158022056,35.7743348230153,39.9166244315288,42.2120732238942,22.4422806779338,33.4527898408797,32.4567072196864,26.4120882351827,214.876969370074,321.040025355025,106.078857908259,63.8865032954142,57.1128669220157,3.21274505288577,13.5827310402149,15.9524936061856,11.0277273839521,23.3888054234923,8.13797649425769,130.093852457952,13.1846838098614,25.5162195039655,31.6344762151048,6.748349524739,7.89479137366686,7.8343878699139,5.22856841849867,4.26442564576114,3.00258225653034,3.48020100692378,76.790488075412,140.097763470931,9.21051965048791,264.228161868084,51.6105082176337,70.540304835814,6.90507746515197,276.566658891637,394.124219307147,1363.02674126584,2359.45158877989,2810.58080028729,947.705008782041,20.2888377768756,10.5743172624392,10.6609226472294,135.41839312337,97.0467961696588,71.0550321920125,67.9276060859963,19.9560691154897,14.5310079116069,45.2570834856934,6.63978461676537,48.060195533898,50.9264874317262,10.0958321957293,83.5633849086294,99.3282597429487,9.4753510508783,4.90172818857628,20.2412514145438,10.7614761138506,70.4312137626728,24.9389643178099,125.65707796047,6.72291215263923,43.1930929911332,23.6750659862927,38.9485433328382,18.8183845293652,25.5409458816847,110.758556190172,18.1923875228757,8.32065664050056,6.22470847839185,5.181579825358,12.8714845708615,26.7002115667516,11.0774121353865,2.92924948815429,18.018897411026,19.4914332499955,9.56602615317115,22.6166625611552,67.757859627512,22.9706486066583,8.41563201947934,22.0938293128392,12.7884361163399,20.6549418960513,19.198136594715,3.51623830143884,6.91670995815721,10.4229340588801,18.8459571174459,49.4062360499137,16.6530230468543,7.12581533873458,175.744147929982,8.23846977340697,29.2833037021541,12.1209059234803,110.673527816923
"Gikonko (OSM)",199.937646851321,8.84740888051012,0,61154.8174618835,11387.3409605159,11.2548331956859,9.04294723294901,14.6829298990786,11.0941975773546,10.3623640084278,14.9057431427978,1511.54182320574,6.79825240665588,12.9291100802553,20.0114282976927,16.6365975917318,24.5127995804796,25.3867296186873,27.4061087330457,16.770580369506,20.6938093443715,37.6713594951128,39.6284625365807,27.8176542881081,11.1892638447665,9.35996005221467,11.5707121524347,13.9317545116902,11.6134936807169,10.0655268369771,10.0138546405394,41.6231986784769,124.579846119127,19.3583137766756,294.415390646767,83.5324959577606,13.2692637830776,20.355594496193,12.2822511355495,10.603870942325,11.4311631752823,12.2771421711047,14.2554887259735,15.0578193339788,8.73674335272531,11.8577670189902,8.48180162656746,7.87847681103953,14.402731627105,230.649689279434,36.7577321835363,15.1969840022459,136.442471192417,10.0974217376459,9.59270428783142,8.98257978525207,8.79126666869216,9.550907826497,10.0533746439279,6.14709746396373,44.4203604815192,267.334135680507,8.83549192578343,9.06616079215768,9.33607085385181,10.1838272058653,12.7477350884504,10.0780744211795,24.0646318045595,14.171753927144,17.9545956594098,9.08847709201774,29.5564050065348,12.5433230968987,7.66989991808033,65.9932599711284,11.9635914030459,29.1761112818314,132.803932676013,13.461584476841,17.0662906003669,11.532269631835,14.7589071668618,15.9832390418177,16.4740941693908,23.0195483149818,13.76371078464,20.7377523226131,11.9757784832381,25.037675372856,8.48370979909146,10.3869013916186,12.9311021999761,117.427041883498,8.05565120199311,11.5648299438282,8.30979872147544,13.1597135614367,14.1364685449023,83.4738877435756,16.1161911371649,56.6628048994759,18.4309736984234,21.3158561867238,15.6209142392794,13.0389937541705,14.948047379466,13.9648512559656,12.0786084933717,35.8146454653815,11.730708903583,16.121866871496,15.9369893276833,32.5506685945283,8.77374738454143,8.52547791564204,19850.7612211125,9.25995682083133,12.232039847955,16.7956902017972
"Muhororo (OSM)",170.089830966181,8.25157990186726,65307.5803859945,0,50652.8008491407,9.67034526112198,8.45351988608677,13.522603606158,10.0560036508413,9.30474845491049,13.4679767257669,2080.05500170361,6.36846976549754,11.0824100829982,17.030226317434,15.4467706009436,22.0099431312009,23.3268481538547,25.3934507026369,15.582345330697,18.9032950359721,34.3277271494848,36.1280535979532,25.3001583193973,10.4465894035074,8.5428052979773,10.752319108536,12.9927636504251,10.8035328488082,9.71025246320712,9.34730216211829,37.5894492572289,111.878094477647,17.6220658865481,337.069340620918,77.9378572119731,12.3763647805933,18.6467704315347,11.2712848302539,9.88738055442679,11.0376563001416,11.8187200057863,13.8566317048235,14.2444503232054,8.37547899690055,10.5157405491845,7.73374090458411,7.22159713205911,13.3787108756023,195.84370073553,36.4423035835961,14.1672572393432,148.5670877112,9.4327567339432,8.9635628889008,8.289336846086,8.13517543515166,8.83869486785906,9.29321035588407,5.76341304762402,41.1923163791648,238.898679346338,8.23351688055576,8.44550935250396,8.68421025160009,9.45358268406202,11.8755845188442,9.41479084199257,22.5235096025457,13.2155596913281,16.7267104554002,8.8615363417389,27.4863961817619,11.7037828306047,7.17823356762527,61.1263477333612,12.2140113750295,29.0642056879272,122.013616337622,12.5562849489078,15.9023013191066,10.5965503975416,13.3816974109023,14.729643503835,15.2964657591092,22.8401136680089,12.8235754459509,19.2848695437459,10.9945217089644,23.1913906747346,7.93413344914267,9.70102318148342,12.7346381404082,103.075553616369,7.52007010642861,10.6053035469264,7.9913162742086,11.999526570596,13.1780621621836,77.1569405930295,14.7889734266216,52.7132897792954,16.8546758896417,19.4209322476997,14.5144612599894,12.5014543475318,13.7923214466135,13.0234882142622,11.4379278402986,34.0365525042239,10.7930665759969,14.3784364288572,14.298640805579,28.9932311381864,7.96425317920352,7.92531976688195,8559.90392328635,9.26966683866048,11.4176597431968,16.7423238364482
"Save (OSM)",150.404887384262,8.25866283752306,11704.1435470061,50312.3450427789,0,9.84077381409321,8.45339308229246,13.5658813304232,10.1000440716993,9.37671233788724,13.4662694726928,2979.58622906142,6.38990855415335,11.2586915292531,17.1852108518825,15.3079256610532,22.3143180957251,23.7124588335919,25.8226637036017,15.4370138515018,18.7195128501614,34.6988273820726,36.4973171640936,24.8959476720618,10.4149593040444,8.5877775607797,10.7258697336295,12.9069639623333,10.7735218431031,10.0723042016544,9.33606744124114,36.6039117233051,103.752398756087,17.4923014075292,405.389009386478,78.654108272475,12.3053416021498,18.4595550395232,11.266431772437,9.91778817087355,11.3110859112503,12.1081956039814,14.6581323454749,14.8818067842689,8.68109867723584,11.1167714678258,7.77551787906534,7.26969661920502,13.3007268464891,197.094379379866,35.2270645686101,14.0516071434059,166.617794629187,9.41841261906297,8.95645550845783,8.31575499541308,8.15822898321354,8.85279776000328,9.30327705679006,5.78873132409316,39.4259398724791,209.877840841417,8.24240805655442,8.45216199245718,8.69032950195722,9.45229550044949,11.8194130379345,9.40072986811768,22.9560145195472,13.1243252308771,16.5361516063523,9.08639849426792,26.8521280090099,11.6472678864203,7.19276348042782,58.1052368562655,12.5661368278504,29.031863950617,112.064516874986,12.4808172969181,15.7372992320372,10.6000368474856,13.3727774173354,14.635955186094,15.1618884279665,22.8415210697297,12.7447808169253,19.0121687551101,10.9934639602951,22.7804487480403,7.9405169357645,9.68247569638192,13.4415093172025,106.515167351421,7.53483793311863,10.6134549642182,8.27250325917772,11.9986020197427,13.0888098765738,72.5921262432924,14.7078914997644,53.0616200508494,16.7296124586644,19.231320806639,14.3997444503749,12.8032858103991,13.7186307603799,12.9369454732987,11.9438742320159,36.2306726707895,11.032997373374,14.4063059519841,14.3073671587022,28.561933748008,8.02588656145229,7.94478305784276,3896.40647819279,9.33121628827417,11.3726864873255,16.7559285817868
"Rwamagana (OSM)",10.246731476355,234.521979556146,11.7309702106766,10.603357884691,10.605464688202,0,762.902007217579,17.2293434561854,16.6254641597592,20.7092902604514,9.72756544678034,17.3105753935503,53.6357828875972,29.2198088559578,84.1178566510234,82.6063362714751,61.5473335603459,72.0758134149137,81.8153774869226,101.781369312845,41.9467521978522,37.387838161912,36.0895844584392,29.3985336717678,69.3783110411502,83.9815559793141,655.128191015755,206.700030110007,169.577986925995,3.99431121237084,19.5264471156701,27.1823031287535,17.0466251217632,44.6782799417487,10.062531319213,262.223370299308,20.4838333753741,49.7293717551718,67.6648034244805,8.87806341774988,9.43324617378454,9.34690399008858,5.9695749838329,5.54832745547165,3.73152757335561,4.93781606475159,362.964154752982,164.127895803206,13.3583582652752,600.351351390051,89.2236426833306,56.2399141543301,8.70162523324882,37697.5265597114,2486.84653355894,571.477667597204,457.449321118729,152.743935206355,118.660463108298,22.8266418811979,16.4346323753633,14.2383094964839,53.4973568919034,44.54631979929,37.115848665471,36.2129775035477,28.3717101823321,19.7096552762026,97.8993414292384,9.07275957775927,41.0202152803915,35.2065905762679,14.8199246156278,358.456562927804,44.786293671342,13.7424763085421,5.23671568531789,23.1776014326706,15.9978885237076,249.879107279472,46.718147401919,1146.76073332585,9.62288201876008,107.536004501733,43.826044168346,39.8703949651439,32.1585727673212,48.3911396716925,772.997571619615,30.9688766822339,11.7903563545065,8.42540305955163,5.72269901790775,14.6146911728739,30.1344382469491,17.0944796834351,3.61020531656108,29.9351660479033,33.6223389436076,13.8998267260361,42.1395042361754,125.729070747615,43.251288747533,12.3680266470959,39.892377027162,17.0765863612655,36.9749165876172,32.9414608426383,4.5451984560364,9.81269271661204,14.9423083272323,34.8315584691103,142.667330239517,26.23379727894,10.3545332356892,61.6084307382289,10.7988200007041,30.3610250410299,18.4431764412031,64.3020317455336
"Kayonza (OSM)",7.4038622985303,666.783765105904,8.63771070585972,8.45351988608677,8.38265551063353,714.719700312354,0,13.3269367666689,12.1441100971647,17.3858424628659,7.4192986878593,13.7633519611366,78.6264544564363,22.4742123090803,44.4668857081576,51.1077125147924,38.2465560879739,45.4198628367173,51.2704318323413,60.4556198375249,28.2124650810425,27.021046027013,26.381889043701,20.5886215264499,95.1042894292311,120.143666854832,211.148716715819,103.264875773933,89.0017794543562,3.38788122561396,16.6078667486368,19.069842403314,12.6504603784779,29.5869058336122,7.77984926338482,168.219459670417,15.455845400909,32.7947310402174,42.3534024478491,7.27910537430858,8.45479777391231,8.38672677095225,5.49395932945852,4.50653454964959,3.15647969394271,3.6529492626639,138.322647820693,423.297616934744,10.4029141745822,338.042194106034,69.0736745778353,44.1263449565525,7.0346260958746,1158.65336961387,4031.3136756663,7015.68362051966,2950.13588223825,306.823955306424,206.657004819472,26.5235697985371,12.3995479759723,10.9373056521492,70.3905902895728,55.7796299768596,44.3627795720988,42.8819563200571,26.0006409897322,17.9478250758996,59.420242900741,7.3136728020786,32.8166120549053,37.6731604990875,11.5117609235163,149.286762711394,56.7266575132068,10.7408859171662,5.15011989224589,21.8168135393007,12.3468400106943,117.787518280514,31.9952835992818,274.185746101931,7.3867787650589,62.1585082791672,30.0894138381681,46.3045930775477,23.0852209674016,32.8995703986931,225.539158682436,22.1999077186804,9.32603573670448,6.82559245152169,5.4333565547112,12.3912369282401,36.9647319818625,12.7157643859984,3.07749238772825,22.9657530806586,24.0358549450091,10.8530159887717,28.4799768874711,84.8605832831637,28.988496614947,9.41739805853871,27.7645017147867,14.1361999617977,25.6575801355891,23.6227728004464,3.7130161372292,7.61758532863191,11.5105841120357,22.9682335869166,73.4266701287633,18.0458316313913,7.85847972770207,83.6865569143972,8.40823508109122,35.7346091440824,14.0664102707074,78.381551336166
"Musanze - Centre Nord",12.3891422866727,12.1518452645318,14.3391423992389,13.7782414302408,13.6917601823848,16.1524475495305,13.5775472375905,0,254.911670468878,29.8650088708844,16.723124366283,22.4079426669272,14.0708092736958,37.3497904862873,29.029581938803,25.2851183359479,31.6718344987668,39.1958966537745,42.6786654920661,25.5066274120358,15.6556831375303,24.5808333655256,24.2906045934952,17.0439107524645,10.2862722393401,10.3253181878121,17.4117400952847,21.1168636550818,17.4890323507061,6.41179554766475,56.1031768062888,24.4913805356859,21.1170538206564,26.937766247809,11.5573827016768,129.634722400486,63.0394631994721,32.2159069236494,15.8077413595479,86.5675010759424,77.4179888608824,75.1308467558711,10.2715245124964,8.72374900644496,5.91516241937215,7.14687035860196,12.5571712742205,12.1245925588366,52.7858295670257,335.837680300087,58.6381541752481,11.7591912831396,11.3958333699821,15.1924392653405,14.4181861651229,13.3805735388451,13.1112161104976,11.4694213290607,10.9937832954824,12.4012725342056,21.7605201825217,18.0615106488336,9.22077510638211,8.77665195614955,8.41323316805826,8.94999000941823,32.7975918193956,30.3446212779873,37.5542372469112,84.090802414898,13.0898411647259,12.3505550113299,40.4478364412174,18.962436864173,8.78206356999241,17.6632043251633,9.2751180814436,222.817622043228,20.4216001015135,20.3861710487537,31.0769714961416,17.2345048441709,16.6080661477925,24.1502139415875,32.2151979836763,58.4014691239885,31.2826494583078,33.5656290136627,17.9052022023423,27.6611280865951,638.466864718024,260.413331084918,10.0119237302167,17.9248397022709,17.4563499239199,97.4660589237929,5.73976560051764,27.2896288483094,30.5986177495014,17.8553388865965,31.9458586632893,52.5177957071327,32.6197994184751,61.653616019287,31.0901967629015,1318.70428093373,29.2696819405493,30.9161719517846,7.15815334035974,12.471726104925,2374.44335360739,35.0031477380843,23.6910694577935,17.0145094880334,1217.48820523765,9.59033075028209,13.7765221474895,18.0434000050911,132.422925206238,20.901754069366
"Nemba (OSM)",9.6300004122995,10.9746790321149,10.9416618597886,10.3976744244948,10.3219767578719,15.6423853805733,12.5766971510678,257.87787534104,0,35.7467237691766,9.16109959175734,16.7946941969119,13.146504277969,49.6335318621796,34.2287036461578,28.3149435592108,33.8071573277748,43.1266275518404,47.3953104144247,28.6606049861624,15.0329211723493,22.5212384780782,22.0665916153874,16.7488492032807,8.974170741702,9.02529515296588,17.2150783077996,22.1671274214039,17.3136216379405,3.83439522976239,98.0089786323411,27.0717415252233,16.6341644122955,30.9034489664337,8.63842241142002,142.691922955884,121.495116359346,39.9802577726618,15.2176609323382,31.7669511755003,30.28169197041,29.6556891411867,6.01035038033327,5.20488575420376,3.56384109537029,4.35864728025205,11.7137925919076,10.9515090908775,87.6732018064834,422.946384697712,75.3622843032299,10.543708046712,8.47684293763552,14.4715811102992,13.5525272247684,12.3552361634304,12.0485109675252,10.2333949893151,9.72390382825147,11.2494936342104,16.647491776304,13.9784651534193,7.88315358012848,7.43843631007265,7.07969721023021,7.61256097955464,41.0908585935817,36.6721734295405,38.9796967164631,31.4524870121096,12.0210224582027,9.60568399353726,20.5599442604914,19.2303859603626,7.44216307679193,13.6207507955256,5.48567632915405,83.3970638051321,15.9746302970926,21.1529865033056,37.9662949815586,16.9895773464586,9.09565332069562,26.5699087999891,40.0122599991236,55.7589892467697,38.3311767356464,42.529077282759,17.8458708973181,32.1093324834243,260.003035673211,52.3134112269381,5.86074875114907,12.7468530953846,17.2720211021594,311.906281334276,3.46135943467516,31.471362902542,37.1176521993461,13.7830944348301,39.4897786020123,49.6594128050468,40.7150799161826,29.2656818288775,37.9821372006376,262.976801584629,34.7915496535193,37.6802443807046,4.27468225935434,9.36147910284761,196.103059390071,45.0433271175134,25.816774931093,16.6893608658951,90.1332358184519,8.25030038026175,10.4171974858437,14.6011231004654,758.742882033979,16.6515863155932
"Katuna (OSM)",8.97651530206301,14.8690367265074,10.3295725494069,9.71939964558267,9.67335615277849,19.6774108796273,18.2770318858673,30.6026149260385,36.207323189067,0,8.69318531861391,15.8118562056417,26.0867416202589,178.272023790546,38.5619000201116,31.8566763088427,33.5903679696733,42.5542995723071,46.62981083226,32.2675586613781,16.3728378648002,22.3542880775769,21.8948801076765,16.6855747055168,10.8089097996205,11.7637538682916,23.1318478430201,26.4174215790494,19.3481214990633,3.72482291423747,147.795368898035,23.8564142299779,15.2052662465329,29.102861776656,8.19682667076003,172.63486645359,27.1822342722745,57.1626851873394,16.579319097371,12.6388226589159,13.3992004830326,13.2444188463096,5.79564783161661,5.06650466580239,3.47207571767378,4.30323594450016,14.3166959080144,19.2278550212009,20.1703185732397,421.498752968493,71.8518740181274,10.5116168336198,8.00401541341381,17.9048925686942,16.7359834650129,17.2725049564148,16.654517028284,13.664297972587,12.8543995652484,26.8590619419368,14.8750186432919,12.8793229145466,10.0370465091742,9.3815671804788,8.73326554817569,8.65019610644537,281.298592409531,55100.5417680847,47.1369827559808,10.6469734405097,11.9665922796217,11.4195330123624,13.5013698255415,23.6029238913191,9.3866619888257,12.5375834220553,5.26735901801337,34.5890870845545,14.5531388041617,25.0832401464621,82.2870412035765,21.5414887808799,8.62659809078523,29.8094620578526,91.8300655899859,242.360802592692,180.211481549152,48.1120006404769,22.4984960946897,27.6439313580033,22.1104631593131,13.4060304480644,5.64401334271518,12.0302243529368,43.1878487469629,30.307218796976,3.37165257020899,120.747062108911,158.334727937893,12.6778788145851,101.815566787118,49.1747528461089,70.8261770976173,11.097423233502,108.449405621323,30.2299345801489,130.496555123239,167.222041490625,4.16136077041784,8.850954672206,25.4954142334557,49.8854575601526,29.0443337220754,16.7015472155377,16.9577671717321,10.5780300662272,9.7762676042099,21.5856679250145,50.606660256066,19.9495739577728
