"Zone","Nyanza","Kabarondo (OSM)","Gikonko (OSM)","Muhororo (OSM)","Save (OSM)","Rwamagana (OSM)","Kayonza (OSM)","Musanze - Centre Nord","Nemba (OSM)","Katuna (OSM)","Karongi (OSM)","Huye (Butare) - Centre Sud","Gatsibo (OSM)","Byumba (OSM)","Kigali (OSM)","Gasabo (OSM)","Zone industrielle 17","Zone industrielle 3","Zone industrielle 4","Murindi (OSM)","Rilima (OSM)","Zone industrielle 18","Zone industrielle 19","Ramiro (OSM)","Ngoma (OSM)","Kibaya (OSM)","Gikoro (OSM)","Gahengeri (OSM)","Nzige (OSM)","Nyakabuye (OSM)","Miyove (OSM)","Musambira (OSM)","Ruhango (OSM)","Butamwa (OSM)","Gisagara (OSM)","Kigali - SEZ Masoro","Ruganda (OSM)","Nyacyonga (OSM)","Rukoli (OSM)","Rubavu - Centre Ouest","Zone industrielle 5","Zone industrielle 10","Zone industrielle 8","Rusizi - Centre Sud-Ouest","Rugaragara (OSM)","Rusizi (OSM)","Rwamagana","Rukara (OSM)","Musasa (OSM)","Kigali - Hub Central","Kigali - Marché Kimisagara","Sake (OSM)","Nyamagabe (OSM)","Nstinda (OSM)","Muhazi (OSM)","Nyamirama (OSM)","Ruramira (OSM)","Remera (OSM)","Kibungo (OSM)","Nyagatare (OSM)","Muhanga","Kigoma (OSM)","Rwabutazi (OSM)","Butezi (OSM)","Cumbati (OSM)","Gahara (OSM)","Rukomo (OSM)","Gatuna (OSM)","Zone industrielle 14","Kabaya (OSM)","Rukumberi (OSM)","Zone industrielle 16","Rugendabari (OSM)","Nyagasambu (OSM)","Nyakarambi (OSM)","Buhanda (OSM)","Frontière Bugarama (Burundi)","Frontière Rubavu/Goma (RDC)","Ruhango (OSM)_1","Karondo (OSM)","Kajevuba (OSM)","Ntunga (OSM)","Kibuye (OSM)","Masaka (OSM)","Cyamutara (OSM)","Frontière Gatuna (Ouganda)","Kadobogo (OSM)","Gatsata / Karuruma (OSM)","Kabuga Ka Musha (OSM)","Runda (OSM)","Ruhondo (OSM)","Mukamira (OSM)","Zone industrielle 13","Zone industrielle 15","Ngarama (OSM)","Rushashi (OSM)","Bugarama (OSM)","Kigoma (OSM)_1","Mugina (OSM)","Gitwe (OSM)","Carrier (OSM)","Bugesera SEZ (Agro-industrie)","Rusine (OSM)","Ngororero (OSM)","Idigiri (OSM)","Zone industrielle 1","Rwafandi (OSM)","Rusumo (OSM)","Karengera (OSM)","Kaduha (OSM)","Zone industrielle 2","Marenge (OSM)","Kabuga (OSM)","Kayumbo Centre (OSM)","Kinigi (OSM)","Cyunuzi (OSM)","Rubona (OSM)","Frontière Kagitumba (Ouganda)","Base (OSM)","Frontière Rusumo (Tanzanie)"
"Nyanza",0,0.010444054052112,0.130601672939997,0.109461786888468,0.0996900181740639,0.0137714224707803,0.0106082280005152,0.0171043252265655,0.0129471681171259,0.0123407058986605,0.0169259289890595,0.117496402872999,0.00841463274317686,0.0155565233005168,0.0231979256649784,0.0179492212604798,0.0216761662304049,0.0195366279815922,0.019713900442615,0.0180637076679727,0.0222809962489182,0.0289736995417855,0.0302434543598442,0.0297114135016503,0.0126696697918341,0.0111663763270492,0.0130947442016583,0.0152877280173897,0.0131212812626644,0.00930898933917492,0.0115531492895026,0.0455244075500344,0.211544364181109,0.0210298453410311,0.048838641716174,0.0617223299066802,0.0146572003898735,0.0218758371486694,0.013951737111255,0.0128968050552143,0.00771104471601643,0.00827543949898953,0.00824113229158217,0.0133091319102216,0.00849431267139662,0.0113917750053791,0.0101160473035759,0.00965950931200957,0.0157411295574853,0.265814314855717,0.0230568389005152,0.0164967650817459,0.0501144970836154,0.0116236862901814,0.0111390747551723,0.0106824438021788,0.010468351766058,0.0112048535004108,0.0117033727531312,0.00776535681498727,0.0491646713750654,2.59875504269375,0.0104410864252685,0.0106669565159444,0.0109422762375544,0.0117801771291329,0.0141804407794621,0.0116051095443076,0.0165638827871736,0.0155168761883359,0.0191464364024559,0.00616412741274194,0.0307552145555681,0.0139628137618097,0.00927325513057702,0.0793827540606629,0.00893861759753371,0.0267376942329392,0.233399801781027,0.0148389816501914,0.0182900683079811,0.013207759809695,0.0167002070857118,0.0174627094623125,0.0177924199642424,0.0214587967333933,0.0151439597876696,0.021884268495578,0.013649101942746,0.026261890838753,0.0100666040906544,0.0119021074202433,0.00702891101223475,0.0418477647232825,0.0096701964222386,0.0132656800948972,0.00817767117379005,0.0148984813885481,0.0154891741296127,0.111097210147093,0.0176717422153829,0.0424853891010212,0.0200095614694981,0.022969005907126,0.0169614179747896,0.00888215107021465,0.0164409216749822,0.0153193243479093,0.0107296433217874,0.0366196919721258,0.0105771024561452,0.0181537218867504,0.0178685806697322,0.0355405512132618,0.0106212437297707,0.01013810240538,0.105775909368991,0.00839522568512114,0.0135944382587347,0.0155507303906771
"Kabarondo (OSM)",0.010427870917013,0,0.012916213326414,0.012127193793355,0.0120364863661291,0.150955359570232,0.300926935261595,0.0178573867223389,0.0149655028952383,0.0186564884298613,0.0108368413539313,0.0204968018198499,0.0421084023880498,0.0233392958138239,0.0370077867086572,0.0350528650026038,0.0265373223532829,0.026299466500943,0.0268264822955456,0.0385875238194916,0.0251199591604413,0.0237369236424571,0.0227159187902816,0.0283325083369504,0.126678944291411,0.180684007829652,0.0756435097713812,0.0517937747739522,0.0480407306506432,0.00624816256169591,0.0171926036176129,0.0198601884610175,0.0151735380061362,0.0260102452662323,0.0122507732892766,0.0892126296578305,0.0168209622891181,0.0274334528263557,0.032066508335662,0.0116684647666432,0.00628988904906788,0.00624767282687782,0.00490004670220197,0.00818255875887214,0.0059748961169977,0.00701698603947691,0.0603318170608829,0.0961319553325597,0.0130681150108116,0.312088073682955,0.0285370921402579,0.0556570224089029,0.0106842774793138,0.153193455453664,0.200522892801557,0.54154132933789,0.833336576413241,0.957660498113356,0.404520516317001,0.0227928490566282,0.0134787684732068,0.014627273591892,0.0904041575657665,0.0707316882902278,0.0564472261947514,0.0547714099220247,0.0225747932885063,0.0180096209825486,0.0289586236472926,0.0103950891478203,0.0421650183454996,0.032079296521417,0.0139434019752536,0.0629701311842882,0.0714628330181652,0.01333665777279,0.00566963297014093,0.0216317983075388,0.0145823559052863,0.0555944319632351,0.0263821606917804,0.0876347017130981,0.0107525798687691,0.0397615162056527,0.0255570826001427,0.0371410492812634,0.0216420476705877,0.0268800251147018,0.0799037553681425,0.021223127757443,0.0121754064982368,0.00993611526468812,0.00435139903424662,0.00966068172171256,0.0277872688009753,0.0151952586672714,0.00585677174586722,0.0216084437175552,0.0221664194948688,0.0134267342585489,0.0251512875416658,0.048319869281064,0.0255264103416737,0.0125403595052203,0.024317324502589,0.00971838098455847,0.0234129020062419,0.0219194306442975,0.00669793296904297,0.0108352018793735,0.011166985225619,0.0228735500203451,0.0457496507179144,0.0208011034937861,0.0112403763703573,0.110333300700311,0.0122355994142353,0.0257876397208483,0.0157681879983114,0.0855092274463099
"Gikonko (OSM)",0.130597031279465,0.0129138279597395,0,13.9483653821139,3.40529925747302,0.0166943142900856,0.0130834884023266,0.0209527423325119,0.0156385744144226,0.0150428241171686,0.0194330197276729,0.728091367693562,0.0106695905103533,0.0185252995297479,0.0257486202898636,0.0203773785877422,0.0235975276660234,0.0213051745089347,0.0212314289887811,0.0204774396518946,0.0243383662300052,0.0286998655564185,0.0295417798262441,0.0303605589106913,0.0152423752406676,0.0137491681133277,0.0156932343208955,0.0178468242008401,0.0157158750019928,0.0141274472190016,0.0140883144779145,0.0411983047676295,0.0935505214633445,0.0232851451335292,0.182477372122925,0.0674327059873682,0.017233325446629,0.0239660993723515,0.0166093625070798,0.0161980429398658,0.00956249331114246,0.0101796489814514,0.0125602227059107,0.0203756475639919,0.0128197334693667,0.0173606219082454,0.0124476009635475,0.0121031257732203,0.0182997124234172,0.286725142474488,0.0239236250852419,0.0190020455023475,0.0966843561561953,0.014159536532963,0.0136493034408082,0.0131992863193358,0.0129613203204768,0.0137484634494726,0.0142775962415467,0.00993008649423206,0.0392817972366547,0.165043036341041,0.0129129391286211,0.0131562488988045,0.0134542650276821,0.0143440363769914,0.0167699615601707,0.0141400745360391,0.0183669101962786,0.0180679860168107,0.0214378362391882,0.00782318969034184,0.0308231384484259,0.0165470474294168,0.0116295809299501,0.0558566861852043,0.0135135025093509,0.0330824087750023,0.0947120217877972,0.0174106484202875,0.0206644299357109,0.0158529561381334,0.01919969677841,0.0199763114517733,0.0202330871051948,0.0267048965220975,0.0177127558064933,0.0238391274786193,0.0163034612400509,0.0274649581968051,0.0124991279276036,0.0144504390536643,0.0106573256217798,0.0735001253181592,0.0120718939635198,0.0159198173040392,0.0123207782755929,0.0175793283913591,0.0180432041748252,0.0666323896905857,0.0201975940993413,0.0455717113255584,0.0223477466121013,0.0249472883011826,0.019457889650155,0.0108445463642909,0.0190090154409895,0.0178773818739958,0.0163959471389281,0.0364751012470122,0.0129551197379389,0.0208241453374503,0.0205201432224854,0.0349241068630613,0.0131776872155581,0.0125907796022687,5.50213703835256,0.0108558961465618,0.0161736210873973,0.0195374116390732
"Muhororo (OSM)",0.106073762122672,0.0121274358161063,13.8847530702179,0,10.5302735752013,0.0148506210426913,0.0123010740296742,0.0194589842094209,0.0143622806950266,0.0137535954364734,0.0177126619471652,0.836037437824294,0.0100899019841978,0.0164140643238304,0.0225206361802543,0.0188605361217945,0.0203342013034722,0.018227739733784,0.0180461074841663,0.0189591554255554,0.0221859133800349,0.0241235258043946,0.0247559223143369,0.0274162385317836,0.0142666817996679,0.0127216246585561,0.0146345575982064,0.0166249377856167,0.0146649414247518,0.0135545435223514,0.0132102696659166,0.0366795313416533,0.0806256715004331,0.0212089117916396,0.184958543138125,0.0577909016129543,0.0160694938447068,0.0218941864367918,0.0153462290435115,0.0152469034093719,0.00838689786258382,0.00890511495605535,0.011225165311282,0.0192368276714573,0.0122768974958434,0.0157932195766359,0.0115088766572876,0.0112613040316976,0.0169808054023197,0.249686082817542,0.0216979513917235,0.0176668379415257,0.0957608917838795,0.013282095183864,0.0128168043982249,0.0123074890935957,0.0121114063402242,0.0128295783817056,0.0133018672637653,0.00940929967230125,0.0353439798735929,0.138854274315493,0.0121201740412773,0.0123404720451399,0.0126017586995074,0.0133974594963209,0.0156365694465003,0.0132643754989522,0.0156645167445637,0.0168245922523069,0.0198561150569693,0.00691777161449418,0.028208765860763,0.0154496985011254,0.0109711044339716,0.0500002590075931,0.0121491689316736,0.0291334804693856,0.0827963061195225,0.0162309124144711,0.0191620530493649,0.0146764963401345,0.0175381706955332,0.0184131859451648,0.0187311519312185,0.0235613297278035,0.0164931566813019,0.0219874498515862,0.0150746435148389,0.0251610428381402,0.0117671660193142,0.0135463795777541,0.00951162938343177,0.0584528014554553,0.0113607191329259,0.0147188001265552,0.0118319892841516,0.0161550441941751,0.0167984047899648,0.05920481260507,0.0185624718648975,0.0389825290074898,0.0204360420803232,0.0226883746587334,0.0180410336658661,0.00946968358717735,0.0175588375148221,0.0166525291870558,0.0154850012781159,0.0337761560320925,0.0114464766462512,0.0187893877083724,0.0185889312414362,0.0310009727866424,0.0121608038176373,0.0118008689999142,2.37566407988226,0.00965200891849289,0.0151004363573449,0.0172581462631678
"Save (OSM)",0.097335082091832,0.012012288336814,3.34068612108129,10.5760198952143,0,0.0148361739559452,0.0121792550689251,0.0193037966907453,0.0142586612300399,0.0136752098408709,0.0175538531833187,1.12985011777604,0.0100012319699357,0.0163879744065746,0.0224210999362232,0.0186081832797974,0.0204533707280126,0.0184653941658881,0.0183489643889483,0.0187023164768997,0.021888175056701,0.0244140909508014,0.0250660294922552,0.0269658724277163,0.0141095256637291,0.0126310816608952,0.0144788260519616,0.016417921389664,0.0145065413030131,0.0137804280637113,0.0130742424641876,0.0358777242440601,0.0765416487980159,0.0209484984575811,0.215403598054994,0.0584211027130649,0.0158751995870924,0.0215962328228228,0.0152010321427495,0.0151143539490337,0.00856754249283368,0.00909692330401387,0.01175559168181,0.0196670528078066,0.012464545062859,0.0162349680387621,0.011427919598571,0.0111849506490912,0.016778202366828,0.248268995071935,0.0213441315910659,0.0174351759659269,0.104985405212275,0.0131433405629663,0.0126863482951323,0.0122058711159387,0.0120086427316101,0.0127148650721871,0.0131808889490313,0.00932946944080915,0.034236401276603,0.127006391446891,0.012006460798715,0.012223526991203,0.0124826207433794,0.0132675013952982,0.0154546050387281,0.0131259391207949,0.0159722258641457,0.0166129776329969,0.0195674270490537,0.00706534156390549,0.0276377978824112,0.0152685545287821,0.0108700462222488,0.0482350984058367,0.012524950484122,0.0292885977938791,0.0781308478879316,0.0160327977435656,0.018892212467059,0.0145415255686964,0.0173761997118107,0.0181912414592925,0.0184821038184567,0.0236862452737127,0.0162914278467562,0.0216403772134544,0.0149338559547995,0.0247215624017054,0.0116539829949086,0.013402922661869,0.00997752870059341,0.0609184561369274,0.0112569861810671,0.0145868424736208,0.0120005791680179,0.0160072239021148,0.0165882142051042,0.0567519800286032,0.0183475473566338,0.0393382318608442,0.020183130425321,0.0223842229008677,0.0178079820148216,0.00966838101903197,0.0173544460316186,0.0164448808489335,0.0158242313755682,0.035236063044846,0.0115519999746711,0.0186430997736058,0.0184316276851714,0.0305108430969346,0.0120879367979299,0.0116979410464763,1.27144619559195,0.00973809003625469,0.014930393209757,0.0173633978943711
"Rwamagana (OSM)",0.0138112384696582,0.159716524009473,0.0167116250495907,0.0148805525674987,0.0148822896634462,0,0.413861273230555,0.0238923069585158,0.0214142758120355,0.0255603876881308,0.0143712628555193,0.0250770599125708,0.0500603944478453,0.0348791936141925,0.079978920458533,0.0702451895766256,0.0532556861907409,0.0559212329329955,0.0597796915130279,0.0825592378638101,0.0425614551766614,0.0308075815641583,0.0294980256760875,0.0325709273056596,0.061019458708385,0.0735030557984249,0.368396881896491,0.143741630368408,0.123545932989049,0.00732579693585078,0.0233750975785532,0.030845661206576,0.0215798329949726,0.04489325638849,0.0146056680890291,0.193975587162782,0.0242009103962522,0.0483217910640247,0.0614004675535536,0.014370717542814,0.00883572196791238,0.00876544023073368,0.00646210607217698,0.00991575498673562,0.00699298666698609,0.00899300535358477,0.231797733358475,0.124151962441534,0.0176484726801082,0.612439331641165,0.0542085653797717,0.0519136583335021,0.0128787744031881,10.9407082861749,1.102284227816,0.33491558599052,0.277947175532126,0.115004355817539,0.0943407865990846,0.0262331920007303,0.0193999375566891,0.0186503181125587,0.0502195900693142,0.0436676413957735,0.0380763862192292,0.0374476634103328,0.0309376534237376,0.0235135594111919,0.068703261135602,0.0132773350064106,0.0407971171922258,0.0279283522075153,0.0190345683347228,0.223625565422181,0.0436172947458792,0.0180036843065033,0.00753161884721417,0.0304593838343042,0.0201415681822089,0.167270418597398,0.0450446334491682,0.596754659726162,0.0142006411468953,0.0873438489260292,0.0431242390788031,0.0471892107753315,0.0339778175789334,0.0463527123041969,0.431470070706792,0.0331691527967872,0.0160847886281368,0.0125800297397003,0.00573322868673677,0.0129385436344692,0.0324080424773248,0.0215891860338233,0.00681298675887167,0.033106513201547,0.0351074727473039,0.0181563355826465,0.0425358998590068,0.0971713010017526,0.0435465800512047,0.0170101454838069,0.0401188653721858,0.0149432130568474,0.0382409209947778,0.0345523088829419,0.00810001290803711,0.0142615904480985,0.0165617582628355,0.0380461593926392,0.113748023792432,0.030469058629365,0.01503664371296,0.0561787684172229,0.0152582476819226,0.0330942678160366,0.0223010310657779,0.0679450214590349
"Kayonza (OSM)",0.0105878195220166,0.300271409328498,0.0130830624555515,0.0123010740296742,0.0122035822891449,0.385386267153752,0,0.0192589893965323,0.0164296118178833,0.0215383939086229,0.0115827699858842,0.0207641049326347,0.0600180309199976,0.0276444671341521,0.0459292404097325,0.0442084923590922,0.0317942352804765,0.0319797845649139,0.0330542968295647,0.0498475556350693,0.0295311206398858,0.0196568350824681,0.0188915715227056,0.0236604573798843,0.0689562651632067,0.0858570481763642,0.125561705998373,0.0732417448520985,0.0661116712709663,0.00648485730303097,0.019779072259591,0.0225266423597429,0.0167070444168308,0.0307272031897129,0.0118583931112404,0.10978645332082,0.0187846235090631,0.0327667520581067,0.0394687760362235,0.0123007052442,0.00663852749726641,0.00659163563126295,0.00508450973118324,0.00850949049251471,0.00618880920083921,0.00727477896592698,0.0929976304694329,0.220595832955395,0.0142231662733569,0.37431192673935,0.03560994469357,0.0395424043935203,0.0108170949816057,0.459724173857376,1.24742636263635,2.01585734852985,0.990081896079215,0.168319018548434,0.125147226402906,0.0275038132565771,0.0150553538119245,0.014877810235889,0.0557222877700795,0.0470942797470867,0.0400184936543293,0.039149206377672,0.0271784626808974,0.0208667173011291,0.0364074457497864,0.0111155119783437,0.0319987407813819,0.0245304090256473,0.0152714913011161,0.0961043835432023,0.0473740331563584,0.0145471672863562,0.00586719768182717,0.0228724642650562,0.0160404408238591,0.0806748927880526,0.0314261798225248,0.15650102874226,0.0114909736103691,0.0515955451359514,0.030245903212242,0.0426362829017166,0.0249630931850653,0.0321160550885779,0.135225923009268,0.0243935359547197,0.0131766902652198,0.0105918189782592,0.00450814198551656,0.00928640066354742,0.0349624940608627,0.016737227870882,0.00606343564073481,0.0256574407339886,0.0256623249853766,0.0146542432271623,0.0295966018692084,0.0578758842589105,0.0300921721177832,0.0135694379234829,0.0285437418634007,0.0105433889062263,0.0272693802601084,0.0253362040069206,0.00696195396025942,0.011596202989166,0.0120575239609116,0.0263535015900203,0.0610377102201562,0.0220087330908618,0.0120455269252055,0.0634849193107442,0.0124034266676494,0.03031093299424,0.0174885207328283,0.0634216817488424
"Musanze - Centre Nord",0.0170506404449731,0.0178160854084808,0.0209082182131278,0.0194236213433881,0.019302775233091,0.023802934682947,0.0192227511440988,0,0.172543631774938,0.0355436224100687,0.0230568112366203,0.0327298678381558,0.0197149718947938,0.0445056392463319,0.0368443106259652,0.0300450383841643,0.0297108131204133,0.0306343591628281,0.0305742462622762,0.0302048558316661,0.0216887305674009,0.0195499581326741,0.0189628625485891,0.0231146042878831,0.0157940733177604,0.0162012954565667,0.0230501603727746,0.0263035956325967,0.0230942525105662,0.0113090118902466,0.0531336094054026,0.030156365352093,0.0269269512820448,0.0321868259610595,0.0175007810807712,0.0968633072317245,0.0577610405086161,0.0363301521759314,0.0218078295770175,0.0802374165754231,0.0498591463662841,0.0485678465689106,0.00933688098363827,0.0150984263237697,0.0107155351245533,0.0130173581749236,0.0181133857724781,0.0181294117317435,0.0509327837730196,0.410936097241777,0.0353898276136739,0.0173621999168923,0.0169808620477511,0.0208165422959298,0.0200599303182602,0.0192911998569385,0.018961208051459,0.0172262861048761,0.016727392606451,0.018027942956935,0.0252083606635098,0.0237648418365969,0.0146642199791323,0.0141627017839404,0.0137602892382033,0.0143954186169407,0.0361030950882495,0.0340756991800526,0.0264242542427091,0.0712683430960985,0.0187310751330629,0.0099259903859535,0.0418875576313383,0.024364778044408,0.0141240583114625,0.023166267513804,0.0105860775959651,0.180344185438441,0.0256841232331117,0.0256524028495413,0.0346628642138801,0.0231785369839196,0.0228303024618958,0.0293480042482757,0.0357420052369047,0.0571266719475799,0.0348752887843906,0.0366922900844157,0.0238376079425515,0.0320695168677787,0.327716980988311,0.165171477673735,0.00825698446522351,0.0137833790459604,0.0230335546194929,0.081932821689203,0.0104610399103686,0.0325281018198001,0.0342962138412074,0.023346269854977,0.036088987394353,0.0424769110001722,0.0367667815391085,0.0586974822445794,0.0348199513512445,0.565071704137315,0.0336597602000167,0.0345342599365473,0.0123250594277744,0.0183504168869239,1.01202784093747,0.0399581245049381,0.0298237895975138,0.0234769577004365,0.580866775669458,0.0150702807677966,0.0196542989802139,0.0185906464448253,0.0993711053555654,0.022874501290867
"Nemba (OSM)",0.0129313525698305,0.0149822610065745,0.0156289468776949,0.0143750632499958,0.0142910283851374,0.0212926950815855,0.0164654349267306,0.173912713213439,0,0.0372084310987894,0.0135576166416166,0.0241018072239964,0.0169952764843467,0.0509855505979277,0.0384204695004416,0.0296825484376972,0.0301037743778617,0.0325793003219963,0.0331632595903367,0.0299133749996105,0.0191279706972007,0.0179130562255844,0.0172865974616605,0.0207499549945129,0.0129443599378251,0.0133294189651716,0.0207387360397619,0.0247342389651579,0.0207948432353989,0.00708111034134243,0.0738285092272164,0.0296140233016159,0.0206168330950775,0.0325000476561394,0.0128662291105214,0.102829251416773,0.0866319470284732,0.0389076888780005,0.0192663746568617,0.0354144548696879,0.0217856949430762,0.0213904386271554,0.0058331758922496,0.00943043809827652,0.00674277926726891,0.00823235841554132,0.0156463008647713,0.0152805129015004,0.0681927074096939,0.451263691562101,0.0410141779466171,0.0145186723378916,0.0124299791341065,0.0182041888031007,0.0173702507888552,0.0165132875978831,0.0161676373666212,0.0143691161770398,0.0138644360453494,0.0152052382792081,0.0189054599130291,0.0179392436562627,0.0118451534928243,0.0113675561640617,0.0109883132365441,0.0115876784400395,0.0388272427236452,0.0356428575552318,0.0271783442090677,0.0318702403583441,0.0159424415580401,0.00795713651484734,0.0234273153576856,0.0223260138348007,0.0113317623860424,0.0174315500858848,0.00673303672400615,0.0774913398766341,0.0195401961834153,0.0239125369566695,0.0365570848851742,0.0208429701609903,0.0134256395641278,0.0286479759815041,0.0382024986245349,0.05421199370004,0.0368725259781488,0.0397985509954354,0.0216154859153037,0.0325621392726684,0.154522118740706,0.0462512120925259,0.00516528079139441,0.0102020798483481,0.0207282920379591,0.184582619295651,0.00658762825554562,0.0329818040760619,0.0359784393862289,0.0175809520833254,0.0385298509389189,0.039629127672093,0.039567632779003,0.0311643415862223,0.0367473584148391,0.142767888825459,0.0348406263472681,0.0363556732024778,0.00770607586640839,0.0135449553240426,0.12741295391604,0.0442993649121552,0.0290503000122666,0.0211076935170365,0.073226354888395,0.0122381801102083,0.0145795586975555,0.0153971750906528,0.355868915378245,0.0186807714742883
"Katuna (OSM)",0.0123386401526229,0.0187345721311373,0.015041932751245,0.013763074127972,0.0137050964145241,0.0253999360021971,0.0216766674585257,0.0357342982710021,0.0373240189800085,0,0.0130989476049616,0.0231812048524749,0.0280669856394527,0.138955403603003,0.042346582686314,0.0326524033369521,0.030418143998672,0.0328908656693193,0.0334747933264245,0.0329249964882937,0.0204745071706883,0.0181915848496709,0.0175603142519427,0.0208224888592888,0.0148512303898446,0.016217112516776,0.0258764384497554,0.0283259544817051,0.0226916015969509,0.00694946557874379,0.102408491410008,0.0272019074903756,0.0194317959210226,0.0313702628222763,0.0124339633305253,0.123668936125046,0.0289264713098491,0.0513122645559244,0.0206285398759253,0.0183530040532767,0.0109166661278675,0.0108060460038014,0.00578184289166198,0.00926488540515282,0.00662926613899997,0.00815372805313426,0.0182062211304749,0.0231314352324499,0.0233270244124093,0.453297604261252,0.0404909930671996,0.01455736383394,0.0119794742671861,0.0213565319525337,0.020341081439242,0.0211661749656574,0.0205438844022991,0.01778365145794,0.0170303791137799,0.0286705726240015,0.0175582653940623,0.017006824956798,0.0141355724554094,0.0134698818887079,0.012813212303102,0.0127446942626969,0.168250692694412,12.626023117945,0.032890838752008,0.0146914336068918,0.0159756686901271,0.00948950635200793,0.0174228167693896,0.0260947187466084,0.0134242889901559,0.0165194930704415,0.00670379110874189,0.0378820102961303,0.0183894406702528,0.0272760514975909,0.0656389074602142,0.0249462265733886,0.0129685625150547,0.0314403443455564,0.0717458488095461,0.193265874719595,0.119218590947904,0.044084037477672,0.0257736240921555,0.0294600072902227,0.0248847467202422,0.0173354015353203,0.00512617455105205,0.00993664675628622,0.0407728033683427,0.0321465590770976,0.00647623209894257,0.0914639782888748,0.107832843369538,0.0166530098567347,0.0792159618949049,0.0402002908020279,0.060486476146015,0.0154748095762885,0.081286318526156,0.0224776386977922,0.0948063569263733,0.112353389668472,0.00757311775707142,0.0130605367733785,0.0242987464906798,0.0483295658550028,0.0319541091081308,0.0212413937345162,0.0213114458066344,0.0146896496964748,0.0139907673900265,0.0220862783416907,0.0455565743339975,0.0224037678151502
