"zone","offre_totale_musd","demande_totale_musd","solde_musd"
"Kigali...Hub.Central",195.25,109.44,85.81
"Kigali...SEZ.Masoro",68.34,38.3,30.03
"Frontière.Rubavu.Goma..RDC.",58.58,32.83,25.74
"Frontière.Gatuna..Ouganda.",48.81,27.36,21.45
"Bugesera.SEZ..Agro.industrie.",42.96,24.08,18.88
"Frontière.Rusumo..Tanzanie.",39.05,21.89,17.16
"Kigali...Marché.Kimisagara",35.15,19.7,15.45
"Huye..Butare....Centre.Sud",35.14,19.7,15.45
"Frontière.Kagitumba..Ouganda.",29.29,16.42,12.87
"Musanze...Centre.Nord",29.29,16.42,12.87
"Rubavu...Centre.Ouest",27.33,15.32,12.01
"Frontière.Bugarama..Burundi.",23.43,13.13,10.3
"Rusizi...Centre.Sud.Ouest",23.43,13.13,10.3
"Miyove..OSM.",19.53,10.94,8.58
"Rwafandi..OSM.",19.53,10.94,8.58
"Kigali..OSM.",19.53,10.94,8.58
"Save..OSM.",19.53,10.94,8.58
"Zone.industrielle.2",19.53,10.94,8.58
"Zone.industrielle.14",19.53,10.94,8.58
"Rubona..OSM.",19.53,10.94,8.58
"Ntunga..OSM.",19.53,10.94,8.58
"Gahara..OSM.",19.53,10.94,8.58
"Ruganda..OSM.",19.53,10.94,8.58
"Karongi..OSM.",19.53,10.94,8.58
"Gikonko..OSM.",19.53,10.94,8.58
"Zone.industrielle.10",19.53,10.94,8.58
"Kayumbo.Centre..OSM.",19.53,10.94,8.58
"Byumba..OSM.",19.53,10.94,8.58
"Zone.industrielle.19",19.53,10.94,8.58
"Kigoma..OSM.",19.53,10.94,8.58
"Zone.industrielle.16",19.53,10.94,8.58
"Base..OSM.",19.53,10.94,8.58
"Nyamirama..OSM.",19.53,10.94,8.58
"Kibuye..OSM.",19.53,10.94,8.58
"Zone.industrielle.17",19.53,10.94,8.58
"Zone.industrielle.15",19.53,10.94,8.58
"Gatsata...Karuruma..OSM.",19.53,10.94,8.58
"Rugaragara..OSM.",19.53,10.94,8.58
"Rilima..OSM.",19.53,10.94,8.58
"Rwamagana..OSM.",19.53,10.94,8.58
"Bugarama..OSM.",19.53,10.94,8.58
"Ngarama..OSM.",19.53,10.94,8.58
"Runda..OSM.",19.53,10.94,8.58
"Zone.industrielle.3",19.53,10.94,8.58
"Ramiro..OSM.",19.53,10.94,8.58
"Gikoro..OSM.",19.53,10.94,8.58
"Zone.industrielle.5",19.53,10.94,8.58
"Cumbati..OSM.",19.53,10.94,8.58
"Gitwe..OSM.",19.53,10.94,8.58
"Zone.industrielle.13",19.53,10.94,8.58
"Rusizi..OSM.",19.53,10.94,8.58
"Zone.industrielle.4",19.53,10.94,8.58
"Kabuga.Ka.Musha..OSM.",19.53,10.94,8.58
"Ruramira..OSM.",19.53,10.94,8.58
"Remera..OSM.",19.53,10.94,8.58
"Kinigi..OSM.",19.53,10.94,8.58
"Gasabo..OSM.",19.52,10.94,8.58
"Ruhondo..OSM.",19.52,10.94,8.58
"Buhanda..OSM.",19.52,10.94,8.58
"Carrier..OSM.",19.52,10.94,8.58
"Cyunuzi..OSM.",19.52,10.94,8.58
"Sake..OSM.",19.52,10.94,8.58
"Gisagara..OSM.",19.52,10.94,8.58
"Nyagasambu..OSM.",19.52,10.94,8.58
"Butezi..OSM.",19.52,10.94,8.58
"Gatuna..OSM.",19.52,10.94,8.58
"Karondo..OSM.",19.52,10.94,8.58
"Kajevuba..OSM.",19.52,10.94,8.58
"Mukamira..OSM.",19.52,10.94,8.58
"Musambira..OSM.",19.52,10.94,8.58
"Kibungo..OSM.",19.52,10.94,8.58
"Kabuga..OSM.",19.52,10.94,8.58
"Rusine..OSM.",19.52,10.94,8.58
"Zone.industrielle.1",19.52,10.94,8.58
"Karengera..OSM.",19.52,10.94,8.58
"Rusumo..OSM.",19.52,10.94,8.58
"Cyamutara..OSM.",19.52,10.94,8.58
"Masaka..OSM.",19.52,10.94,8.58
"Nyamagabe..OSM.",19.52,10.94,8.58
"Katuna..OSM.",19.52,10.94,8.58
"Rukumberi..OSM.",19.52,10.94,8.58
"Kadobogo..OSM.",19.52,10.94,8.58
"Kabarondo..OSM.",19.52,10.94,8.58
